400 79800
1 2 3
1 3 1
1 4 1
1 5 2
1 6 2
1 7 2
1 8 5
1 9 4
1 10 2
1 11 5
1 12 1
1 13 1
1 14 3
1 15 3
1 16 5
1 17 1
1 18 1
1 19 3
1 20 5
1 21 5
1 22 3
1 23 4
1 24 4
1 25 4
1 26 5
1 27 4
1 28 1
1 29 5
1 30 4
1 31 5
1 32 5
1 33 2
1 34 3
1 35 2
1 36 3
1 37 2
1 38 2
1 39 2
1 40 1
1 41 2
1 42 4
1 43 2
1 44 1
1 45 2
1 46 2
1 47 2
1 48 2
1 49 5
1 50 4
1 51 5
1 52 3
1 53 3
1 54 5
1 55 1
1 56 5
1 57 3
1 58 5
1 59 2
1 60 5
1 61 2
1 62 5
1 63 2
1 64 3
1 65 5
1 66 2
1 67 4
1 68 5
1 69 1
1 70 5
1 71 5
1 72 4
1 73 1
1 74 2
1 75 3
1 76 2
1 77 3
1 78 2
1 79 5
1 80 4
1 81 3
1 82 4
1 83 5
1 84 2
1 85 1
1 86 2
1 87 3
1 88 2
1 89 2
1 90 5
1 91 5
1 92 5
1 93 3
1 94 3
1 95 3
1 96 2
1 97 1
1 98 3
1 99 1
1 100 5
1 101 5
1 102 5
1 103 2
1 104 3
1 105 2
1 106 5
1 107 2
1 108 5
1 109 1
1 110 5
1 111 3
1 112 4
1 113 1
1 114 1
1 115 1
1 116 4
1 117 4
1 118 4
1 119 4
1 120 2
1 121 2
1 122 5
1 123 3
1 124 5
1 125 4
1 126 1
1 127 5
1 128 4
1 129 2
1 130 4
1 131 4
1 132 4
1 133 3
1 134 2
1 135 5
1 136 4
1 137 4
1 138 3
1 139 4
1 140 1
1 141 1
1 142 2
1 143 2
1 144 4
1 145 4
1 146 4
1 147 3
1 148 5
1 149 1
1 150 1
1 151 1
1 152 4
1 153 4
1 154 3
1 155 3
1 156 1
1 157 4
1 158 3
1 159 3
1 160 5
1 161 1
1 162 2
1 163 2
1 164 2
1 165 4
1 166 4
1 167 5
1 168 5
1 169 4
1 170 4
1 171 5
1 172 4
1 173 4
1 174 1
1 175 3
1 176 2
1 177 2
1 178 1
1 179 2
1 180 5
1 181 4
1 182 3
1 183 2
1 184 1
1 185 1
1 186 2
1 187 4
1 188 3
1 189 1
1 190 5
1 191 3
1 192 5
1 193 2
1 194 2
1 195 3
1 196 5
1 197 3
1 198 5
1 199 5
2 3 1
2 4 2
2 5 5
2 6 2
2 7 4
