400 79800
1 2 4
1 3 3
1 4 4
1 5 1
1 6 4
1 7 4
1 8 4
1 9 1
1 10 1
1 11 3
1 12 3
1 13 3
1 14 1
1 15 4
1 16 5
1 17 2
1 18 5
1 19 1
1 20 3
1 21 3
1 22 4
1 23 1
1 24 3
1 25 4
1 26 2
1 27 5
1 28 3
1 29 4
1 30 5
1 31 4
1 32 5
1 33 3
1 34 2
1 35 2
1 36 1
1 37 3
1 38 5
1 39 4
1 40 4
1 41 3
1 42 1
1 43 4
1 44 1
1 45 3
1 46 1
1 47 1
1 48 3
1 49 3
1 50 5
1 51 3
1 52 3
1 53 1
1 54 1
1 55 1
1 56 4
1 57 5
1 58 4
1 59 4
1 60 2
1 61 1
1 62 4
1 63 2
1 64 3
1 65 5
1 66 4
1 67 2
1 68 3
1 69 2
1 70 5
1 71 3
1 72 3
1 73 2
1 74 2
1 75 2
1 76 5
1 77 1
1 78 2
1 79 2
1 80 5
1 81 4
1 82 3
1 83 2
1 84 4
1 85 5
1 86 4
1 87 2
1 88 4
1 89 4
1 90 3
1 91 2
1 92 2
1 93 3
1 94 2
1 95 2
1 96 3
1 97 1
1 98 3
1 99 5
1 100 3
1 101 3
1 102 5
1 103 2
1 104 1
1 105 1
1 106 1
1 107 2
1 108 2
1 109 3
1 110 2
1 111 2
1 112 4
1 113 5
1 114 5
1 115 3
1 116 3
1 117 1
1 118 5
1 119 1
1 120 1
1 121 3
1 122 5
1 123 2
1 124 4
1 125 1
1 126 2
1 127 4
1 128 3
1 129 2
1 130 1
1 131 4
1 132 3
1 133 1
1 134 5
1 135 2
1 136 1
1 137 3
1 138 5
1 139 4
1 140 2
1 141 3
1 142 3
1 143 3
1 144 2
1 145 5
1 146 2
1 147 5
1 148 1
1 149 2
1 150 5
1 151 4
1 152 4
1 153 5
1 154 3
1 155 5
1 156 3
1 157 4
1 158 1
1 159 1
1 160 5
1 161 5
1 162 4
1 163 4
1 164 1
1 165 4
1 166 3
1 167 1
1 168 1
1 169 5
1 170 5
1 171 3
1 172 1
1 173 5
1 174 4
1 175 1
1 176 4
1 177 3
1 178 5
1 179 5
1 180 3
1 181 4
1 182 2
1 183 5
1 184 2
1 185 4
1 186 2
1 187 3
1 188 3
1 189 5
1 190 5
1 191 2
1 192 5
1 193 3
1 194 4
1 195 1
1 196 4
1 197 5
1 198 1
1 199 5
2 3 1
2 4 3
2 5 3
2 6 1
2 7 3
2 8 4
2 9 1
2 10 4
2 11 5
2 12 5
2 13 5
2 14 1
2 15 3
2 16 1
2 17 4
2 18 4
2 19 5
2 20 5
2 21 3
2 22 2
2 23 1
2 24 2
2 25 2
2 26 5
2 27 5
2 28 1
2 29 4
2 30 5
2 31 4
2 32 4
2 33 2
2 34 5
2 35 3
2 36 5
2 37 3
2 38 5
2 39 5
2 40 1
2 41 2
2 42 3
2 43 5
2 44 2
2 45 1
2 46 1
2 47 4
2 48 3
2 49 4
2 50 5
2 51 5
2 52 3
2 53 1
2 54 2
2 55 1
2 56 5
2 57 2
2 58 2
2 59 3
2 60 2
2 61 2
2 62 3
2 63 3
2 64 4
2 65 5
2 66 3
2 67 4
2 68 2
2 69 3
2 70 5
2 71 1
2 72 5
2 73 2
2 74 3
2 75 4
2 76 3
2 77 4
2 78 4
2 79 3
2 80 5
2 81 2
2 82 5
2 83 4
2 84 3
2 85 1
2 86 2
2 87 3
2 88 4
2 89 4
2 90 4
2 91 5
2 92 1
2 93 3
2 94 5
2 95 5
2 96 5
2 97 2
2 98 3
2 99 4
2 100 5
2 101 5
2 102 3
2 103 3
2 104 5
2 105 5
2 106 3
2 107 5
2 108 1
2 109 1
2 110 5
2 111 2
2 112 4
2 113 4
2 114 1
2 115 4
2 116 1
2 117 5
2 118 5
2 119 1
2 120 1
2 121 5
2 122 3
2 123 4
2 124 4
2 125 4
2 126 1
2 127 2
2 128 5
2 129 4
2 130 3
2 131 1
2 132 1
2 133 5
2 134 1
2 135 4
2 136 1
2 137 3
2 138 5
2 139 5
2 140 3
2 141 5
2 142 4
2 143 5
2 144 5
2 145 1
2 146 4
2 147 4
2 148 3
2 149 2
2 150 1
2 151 5
2 152 4
2 153 4
2 154 2
2 155 2
2 156 2
2 157 1
2 158 1
2 159 5
2 160 5
2 161 2
2 162 3
2 163 4
2 164 4
2 165 2
2 166 4
2 167 4
2 168 4
2 169 4
2 170 1
2 171 4
2 172 2
2 173 3
2 174 1
2 175 5
2 176 2
2 177 4
2 178 3
2 179 4
2 180 2
2 181 1
2 182 4
2 183 3
2 184 1
2 185 1
2 186 1
2 187 3
2 188 4
2 189 1
2 190 4
2 191 3
2 192 1
2 193 5
2 194 4
2 195 3
2 196 1
2 197 5
2 198 1
2 199 4
3 4 1
3 5 2
3 6 3
3 7 2
3 8 4
3 9 4
3 10 1
3 11 1
3 12 3
3 13 3
3 14 4
3 15 5
3 16 5
3 17 4
3 18 5
3 19 4
3 20 4
3 21 2
3 22 1
3 23 2
3 24 2
3 25 4
3 26 1
3 27 3
3 28 5
3 29 2
3 30 1
3 31 2
3 32 4
3 33 3
3 34 4
3 35 5
3 36 2
3 37 1
3 38 5
3 39 1
3 40 5
3 41 4
3 42 1
3 43 4
3 44 4
3 45 2
3 46 1
3 47 1
3 48 4
3 49 2
3 50 2
3 51 2
3 52 4
3 53 1
3 54 5
3 55 1
3 56 3
3 57 3
3 58 4
3 59 4
3 60 2
3 61 4
3 62 1
3 63 2
3 64 3
3 65 2
3 66 4
3 67 2
3 68 4
3 69 2
3 70 3
3 71 2
3 72 5
3 73 3
3 74 2
3 75 1
3 76 2
3 77 5
3 78 3
3 79 4
3 80 1
3 81 2
3 82 5
3 83 5
3 84 3
3 85 4
3 86 4
3 87 2
3 88 1
3 89 5
3 90 3
3 91 5
3 92 1
3 93 4
3 94 2
3 95 3
3 96 2
3 97 2
3 98 5
3 99 3
3 100 1
3 101 2
3 102 1
3 103 4
3 104 5
3 105 1
3 106 1
3 107 3
3 108 1
3 109 3
3 110 5
3 111 2
3 112 4
3 113 5
3 114 4
3 115 1
3 116 2
3 117 4
3 118 1
3 119 4
3 120 4
3 121 1
3 122 3
3 123 4
3 124 5
3 125 3
3 126 2
3 127 3
3 128 2
3 129 2
3 130 4
3 131 2
3 132 4
3 133 3
3 134 3
3 135 2
3 136 2
3 137 4
3 138 1
3 139 5
3 140 2
3 141 3
3 142 3
3 143 2
3 144 5
3 145 3
3 146 3
3 147 5
3 148 4
3 149 2
3 150 3
3 151 3
3 152 3
3 153 5
3 154 3
3 155 4
3 156 1
3 157 2
3 158 3
3 159 1
3 160 5
3 161 3
3 162 1
3 163 3
3 164 2
3 165 2
3 166 4
3 167 3
3 168 3
3 169 5
3 170 2
3 171 4
3 172 4
3 173 5
3 174 4
3 175 3
3 176 4
3 177 3
3 178 3
3 179 1
3 180 3
3 181 3
3 182 3
3 183 1
3 184 5
3 185 2
3 186 5
3 187 2
3 188 4
3 189 2
3 190 3
3 191 4
3 192 5
3 193 1
3 194 2
3 195 5
3 196 5
3 197 5
3 198 4
3 199 5
4 5 1
4 6 4
4 7 4
4 8 5
4 9 4
4 10 2
4 11 3
4 12 2
4 13 1
4 14 5
4 15 5
4 16 4
4 17 3
4 18 1
4 19 5
4 20 1
4 21 3
4 22 2
4 23 2
4 24 5
4 25 4
4 26 3
4 27 5
4 28 1
4 29 3
4 30 5
4 31 3
4 32 5
4 33 2
4 34 2
4 35 4
4 36 2
4 37 3
4 38 3
4 39 1
4 40 1
4 41 4
4 42 1
4 43 1
4 44 1
4 45 2
4 46 4
4 47 2
4 48 3
4 49 4
4 50 4
4 51 2
4 52 3
4 53 2
4 54 4
4 55 3
4 56 4
4 57 2
4 58 3
4 59 4
4 60 2
4 61 4
4 62 1
4 63 5
4 64 4
4 65 5
4 66 2
4 67 1
4 68 5
4 69 5
4 70 3
4 71 1
4 72 1
4 73 2
4 74 3
4 75 5
4 76 2
4 77 3
4 78 4
4 79 4
4 80 4
4 81 5
4 82 4
4 83 2
4 84 2
4 85 2
4 86 4
4 87 3
4 88 2
4 89 3
4 90 3
4 91 5
4 92 2
4 93 5
4 94 2
4 95 5
4 96 4
4 97 1
4 98 1
4 99 4
4 100 2
4 101 4
4 102 4
4 103 1
4 104 5
4 105 4
4 106 5
4 107 4
4 108 5
4 109 1
4 110 5
4 111 4
4 112 5
4 113 4
4 114 5
4 115 2
4 116 5
4 117 2
4 118 5
4 119 1
4 120 2
